Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
198.349,0,0,0,0,2
198.295,1,0,1,0,2
198.126,2,0,2,0,2
198,2.42511,0,3,0,2
197.827,3,0,4,0,2
197.453,4,0,5,0,2
197,4.93358,0,6,0,2
196.965,5,0,7,0,2
196.391,6,0,8,0,2
196,6.57877,0,9,0,2
195.705,7,0,10,0,2
195,7.94488,0,11,0,2
194.956,8,0,12,0,2
194.128,9,0,13,0,2
194,9.14093,0,14,0,2
193.209,10,0,15,0,2
193,10.2146,0,16,0,2
192.211,11,0,17,0,2
192,11.203,0,18,0,2
191.135,12,0,19,0,2
190,12.9792,0,20,0,2
189.976,13,0,21,0,2
191,12.1229,0,22,0,2
189,13.7896,0,23,0,2
188.741,14,0,24,0,2
188,14.5767,0,25,0,2
187.445,15,0,26,0,2
187,15.3376,0,27,0,2
186.069,16,0,28,0,2
185,16.7254,0,29,0,2
184.604,17,0,30,0,2
186,16.0516,0,31,0,2
184,17.4082,0,32,0,2
183.078,18,0,33,0,2
182,18.6628,0,34,0,2
181.462,19,0,35,0,2
183,18.0531,0,36,0,2
180,19.8586,0,37,0,2
179.769,20,0,38,0,2
181,19.2896,0,39,0,2
179,20.4464,0,40,0,2
178.007,21,0,41,0,2
177,21.5471,0,42,0,2
176.163,22,0,43,0,2
178,21.0045,0,44,0,2
175,22.6013,0,45,0,2
174.238,23,0,46,0,2
176,22.0932,0,47,0,2
173,23.6145,0,48,0,2
172.235,24,0,49,0,2
174,23.13,0,50,0,2
171,24.591,0,51,0,2
170.154,25,0,52,0,2
172,24.1238,0,53,0,2
168,25.9953,0,54,0,2
167.991,26,0,55,0,2
169,25.5349,0,56,0,2
170,25.0787,0,57,0,2
166,26.8793,0,58,0,2
165.743,27,0,59,0,2
167,26.4489,0,60,0,2
164,27.7412,0,61,0,2
163.415,28,0,62,0,2
165,27.3336,0,63,0,2
161,28.9963,0,64,0,2
160.992,29,0,65,0,2
162,28.5833,0,66,0,2
163,28.1858,0,67,0,2
159,29.7794,0,68,0,2
158.462,30,0,69,0,2
160,29.403,0,70,0,2
156,30.9258,0,71,0,2
155.815,31,0,72,0,2
157,30.5551,0,73,0,2
158,30.1901,0,74,0,2
154,31.6501,0,75,0,2
153.035,32,0,76,0,2
155,31.3092,0,77,0,2
151,32.6869,0,78,0,2
150.09,33,0,79,0,2
152,32.3657,0,80,0,2
153,32.0137,0,81,0,2
147,33.9828,0,82,0,2
146.949,34,0,83,0,2
148,33.6635,0,84,0,2
149,33.3624,0,85,0,2
150,33.0329,0,86,0,2
144,34.8682,0,87,0,2
143.572,35,0,88,0,2
145,34.5815,0,89,0,2
146,34.2993,0,90,0,2
140,35.9779,0,91,0,2
139.924,36,0,92,0,2
141,35.7029,0,93,0,2
142,35.4444,0,94,0,2
143,35.174,0,95,0,2
65,36.9975,0,96,0,2
64.9868,37,0,97,0,2
66,36.8658,0,98,0,2
67,36.7928,0,99,0,2
68,36.7709,0,100,0,2
69,36.7975,0,101,0,2
