time,Interface_location_along_x_axis,Total_FE,Total_solid_volume
0,0,0,0
0.5,8.90625,1061081.580169,65.691411389372
1.5,10.546875,1061037.8688138,86.576295713994
3.5,11.71875,1060963.2227985,111.67696181522
7.5,13.59375,1060821.6494479,147.5924657088
15.5,16.40625,1060569.8978881,207.91994568382
23.5,18.75,1060331.0012185,265.71790371194
31.5,20.625,1060095.3756597,322.15031447558
39.5,22.5,1059861.8065308,377.49650975108
47.5,24.375,1059630.4246006,432.15566212811
55.5,26.015625,1059400.9228027,486.35141926903
65.74,27.890625,1059145.3701875,549.23104907321
75.98,29.53125,1058864.5436165,615.62147117441
86.22,31.40625,1058576.2497854,682.69151421772
96.46,33.28125,1058287.1957264,750.07720610773
106.7,34.921875,1057998.7303567,817.61696532231
116.94,36.5625,1057710.820869,885.24617417873
127.18,38.203125,1057423.2094277,952.95163330071
137.42,39.84375,1057135.6387041,1020.7419198688
147.66,41.25,1056847.8990969,1088.6321799028
157.9,43.125,1056559.823971,1156.6414004935
168.14,44.53125,1056271.2699386,1224.7911529454
178.38,45.9375,1055982.1235651,1293.1011858479
188.62,47.578125,1055692.2723942,1361.5940832476
198.86,48.984375,1055401.6247989,1430.2894282583
209.1,50.625,1055110.0845989,1499.2087734035
219.34,52.03125,1054817.5700347,1568.3704175238
229.58,53.4375,1054523.9948361,1637.7942657677
239.82,54.84375,1054229.2863612,1707.4978780253
250.06,56.25,1053933.3662133,1777.4981197936
256.6136,57.421875,1053727.6300015,1825.8949917157
263.1672,58.359375,1053531.7424589,1872.3558409588
276.2744,60.234375,1053145.2633427,1963.4873078192
289.3816,61.875,1052759.7122512,2054.4822088179
302.4888,63.75,1052372.6338707,2146.0084295272
315.596,65.625,1051983.1329352,2238.1328950429
328.7032,67.5,1051590.9969754,2330.9035904628
341.8104,69.375,1051196.1347814,2424.3405387919
354.9176,71.25,1050798.4825405,2518.453171681
368.0248,73.125,1050397.9951755,2613.2475042636
381.132,74.765625,1049994.6410129,2708.7268876644
394.2392,76.640625,1049588.3987819,2804.8926567234
407.3464,78.28125,1049179.2598338,2901.7432208323
420.4536,80.15625,1048767.2261183,2999.2759327675
433.5608,82.03125,1048352.3034175,3097.4873571344
446.668,83.671875,1047934.5072862,3196.373183712
459.7752,85.3125,1047513.8587811,3295.9267474009
472.8824,87.1875,1047090.3878633,3396.1398441922
485.9896,88.828125,1046664.1229276,3497.0057196551
499.0968,90.46875,1046235.0982922,3598.515352781
