time,Interface_location_along_x_axis,Total_FE,Total_solid_volume,Total_solid_fraction
0,0,0,0,0
0.5,8.90625,2122157.051,65.69141139,7.13E-05
1.5,10.546875,2122067.961,86.57629571,9.39E-05
3.5,11.71875,2121918.022,111.6769618,0.000121177
7.5,13.59375,2121634.795,147.5924657,0.000160148
15.5,16.40625,2121130.426,207.9199457,0.000225608
23.5,18.75,2120651.055,265.7179037,0.000288322
31.5,20.625,2120178.134,322.1503145,0.000349555
39.5,22.5,2119709.523,377.4965098,0.00040961
47.5,24.375,2119245.438,432.1556621,0.000468919
55.5,26.015625,2118785.219,486.3514193,0.000527725
65.74,27.890625,2118273.269,549.2310491,0.000595954
75.98,29.53125,2117710.179,615.6214712,0.000667992
86.22,31.40625,2117132.297,682.6915142,0.000740768
96.46,33.28125,2116552.954,750.0772061,0.000813886
106.7,34.921875,2115974.835,817.6169653,0.000887171
116.94,36.5625,2115397.867,885.2461742,0.000960554
127.18,38.203125,2114821.524,952.9516333,0.001034019
137.42,39.84375,2114245.289,1020.74192,0.001107576
147.66,41.25,2113668.737,1088.63218,0.001181242
157.9,43.125,2113091.53,1156.6414,0.001255036
168.14,44.53125,2112513.381,1224.791153,0.001328983
178.38,45.9375,2111934.055,1293.101186,0.001403105
188.62,47.578125,2111353.331,1361.594083,0.001477424
198.86,48.984375,2110771.019,1430.289428,0.001551963
209.1,50.625,2110186.928,1499.208773,0.001626746
219.34,52.03125,2109600.892,1568.370418,0.001701791
229.58,53.4375,2109012.74,1637.794266,0.001777121
239.82,54.84375,2108422.321,1707.497878,0.001852754
250.06,56.25,2107829.484,1777.49812,0.001928709
256.6136,57.421875,2107417.044,1825.894992,0.001981223
263.1672,58.359375,2107024.628,1872.355841,0.002031636
276.2744,60.234375,2106250.69,1963.487308,0.00213052
289.3816,61.875,2105478.499,2054.482209,0.002229256
302.4888,63.75,2104703.085,2146.00843,0.002328568
315.596,65.625,2103922.807,2238.132895,0.00242853
328.7032,67.5,2103137.257,2330.90359,0.002529192
341.8104,69.375,2102346.251,2424.340539,0.002630578
354.9176,71.25,2101549.664,2518.453172,0.002732697
368.0248,73.125,2100747.404,2613.247504,0.002835555
381.132,74.765625,2099939.409,2708.726888,0.002939157
394.2392,76.640625,2099125.638,2804.892657,0.003043503
407.3464,78.28125,2098306.072,2901.743221,0.003148593
420.4536,80.15625,2097480.714,2999.275933,0.003254423
433.5608,82.03125,2096649.577,3097.487357,0.003360989
446.668,83.671875,2095812.692,3196.373184,0.003468287
459.7752,85.3125,2094970.105,3295.926747,0.003576309
472.8824,87.1875,2094121.869,3396.139844,0.003685048
485.9896,88.828125,2093268.047,3497.00572,0.003794494
499.0968,90.46875,2092408.706,3598.515353,0.003904639
512.204,92.34375,2091543.928,3700.658789,0.004015472
525.3112,93.75,2090673.788,3803.42729,0.004126983
538.4184,95.625,2089798.369,3906.810441,0.004239161
551.5256,97.03125,2088917.763,4010.798245,0.004351995
564.6328,98.90625,2088032.047,4115.381723,0.004465475
577.74,100.3125,2087141.312,4220.54933,0.004579589
590.8472,102.1875,2086245.647,4326.291943,0.004694327
603.9544,103.59375,2085345.133,4432.59959,0.004809678
617.0616,105.234375,2084439.86,4539.461335,0.004925631
630.1688,106.875,2083529.911,4646.868615,0.005042175
643.276,108.515625,2082615.364,4754.81228,0.005159302
656.3832,110.15625,2081696.307,4863.281772,0.005276998
669.4904,111.5625,2080772.812,4972.268912,0.005395257
